,filename,label
0,data\Stage1Rules\Belt St1-G0\100_0-7.bmp,7
1,data\Stage1Rules\Belt St1-G0\101_0-7.bmp,0
2,data\Stage1Rules\Belt St1-G0\102_0-7.bmp,7
3,data\Stage1Rules\Belt St1-G0\103_0-7.bmp,7
4,data\Stage1Rules\Belt St1-G0\104_0-7.bmp,7
5,data\Stage1Rules\Belt St1-G0\105_0-7.bmp,7
6,data\Stage1Rules\Belt St1-G0\106_0-7.bmp,7
7,data\Stage1Rules\Belt St1-G0\107_0-7.bmp,7
8,data\Stage1Rules\Belt St1-G0\108_0-7.bmp,7
9,data\Stage1Rules\Belt St1-G0\109_0-7.bmp,7
10,data\Stage1Rules\Belt St1-G0\110_0-7.bmp,7
11,data\Stage1Rules\Belt St1-G0\111_0-7.bmp,7
12,data\Stage1Rules\Belt St1-G0\112_0-7.bmp,0
13,data\Stage1Rules\Belt St1-G0\113_0-7.bmp,7
14,data\Stage1Rules\Belt St1-G0\114_0-7.bmp,7
15,data\Stage1Rules\Belt St1-G0\115_0-7.bmp,7
16,data\Stage1Rules\Belt St1-G0\116_0-7.bmp,7
17,data\Stage1Rules\Belt St1-G0\117_0-7.bmp,7
18,data\Stage1Rules\Belt St1-G0\118_0-7.bmp,7
19,data\Stage1Rules\Belt St1-G0\119_0-7.bmp,3
20,data\Stage1Rules\Belt St1-G0\120_0-7.bmp,3
21,data\Stage1Rules\Belt St1-G0\121_0-7.bmp,0
22,data\Stage1Rules\Belt St1-G0\122_0-7.bmp,0
23,data\Stage1Rules\Belt St1-G0\123_0-7.bmp,0
24,data\Stage1Rules\Belt St1-G0\124_0-7.bmp,3
25,data\Stage1Rules\Belt St1-G0\125_0-7.bmp,0
26,data\Stage1Rules\Belt St1-G0\126_0-7.bmp,0
27,data\Stage1Rules\Belt St1-G0\127_0-7.bmp,0
28,data\Stage1Rules\Belt St1-G0\128_0-7.bmp,0
29,data\Stage1Rules\Belt St1-G0\129_0-7.bmp,3
30,data\Stage1Rules\Belt St1-G0\130_0-7.bmp,0
31,data\Stage1Rules\Belt St1-G0\131_0-7.bmp,0
32,data\Stage1Rules\Belt St1-G0\132_0-7.bmp,3
33,data\Stage1Rules\Belt St1-G0\133_0-7.bmp,7
34,data\Stage1Rules\Belt St1-G0\134_0-7.bmp,0
35,data\Stage1Rules\Belt St1-G0\135_0-7.bmp,0
36,data\Stage1Rules\Belt St1-G0\136_0-7.bmp,0
37,data\Stage1Rules\Belt St1-G0\137_0-7.bmp,0
38,data\Stage1Rules\Belt St1-G0\138_0-7.bmp,0
39,data\Stage1Rules\Belt St1-G0\139_0-7.bmp,0
40,data\Stage1Rules\Belt St1-G0\140_0-7.bmp,0
41,data\Stage1Rules\Belt St1-G0\141_0-7.bmp,0
42,data\Stage1Rules\Belt St1-G0\142_0-7.bmp,0
43,data\Stage1Rules\Belt St1-G0\143_0-7.bmp,0
44,data\Stage1Rules\Belt St1-G0\144_0-7.bmp,0
45,data\Stage1Rules\Belt St1-G0\145_0-7.bmp,0
46,data\Stage1Rules\Belt St1-G0\146_0-7.bmp,0
47,data\Stage1Rules\Belt St1-G0\147_0-7.bmp,0
